rows=14
columns=12
Horizontal
#,#,#,#,#,#,#,#,#,#,#,#
#,#,23,0,0,0,08,0,0,12,0,0
34,0,0,0,0,0,23,0,0,0,0,0
16,0,0,16,0,0,#,19,0,0,0,0
#,34,0,0,0,0,0,0,0,14,0,0
24,0,0,0,28,0,0,0,0,0,#,#
06,0,0,07,0,0,0,#,07,0,0,0
03,0,0,08,0,0,04,0,0,04,0,0
09,0,0,0,#,11,0,0,0,03,0,0
#,#,21,0,0,0,0,0,21,0,0,0
03,0,0,36,0,0,0,0,0,0,0,#
21,0,0,0,0,#,12,0,0,17,0,0
22,0,0,0,0,0,35,0,0,0,0,0
04,0,0,06,0,0,24,0,0,0,#,#
Vertical
#,#,#,16,29,30,#,05,19,#,29,30
#,17,41,0,0,0,#,0,0,04,0,0
#,0,0,0,0,0,#,0,0,0,0,0
#,0,0,16,0,0,07,15,0,0,0,0
#,14,0,0,0,0,0,0,0,08,0,0
#,0,0,0,04,0,0,0,0,0,35,12
#,0,0,#,0,0,0,29,06,0,0,0
#,0,0,03,0,0,06,0,0,#,0,0
#,0,0,0,24,10,0,0,0,17,0,0
#,19,21,0,0,0,0,0,29,0,0,0
#,0,0,04,0,0,0,0,0,0,0,16
#,0,0,0,0,04,#,0,0,16,0,0
#,0,0,0,0,0,#,0,0,0,0,0
#,0,0,#,0,0,#,0,0,0,#,#
