rows=14
columns=12
Horizontal
#,#,#,#,#,#,#,#,#,#,#,#
#,04,0,0,06,0,0,0,23,0,0,0
17,0,0,0,38,0,0,0,0,0,0,0
15,0,0,0,0,0,16,0,0,16,0,0
#,#,03,0,0,17,0,0,15,0,0,0
16,0,0,25,0,0,0,0,0,0,#,#
23,0,0,0,05,0,0,21,0,0,0,#
06,0,0,0,07,0,0,0,23,0,0,0
#,09,0,0,0,04,0,0,06,0,0,0
#,#,35,0,0,0,0,0,0,06,0,0
18,0,0,0,17,0,0,03,0,0,#,#
14,0,0,17,0,0,20,0,0,0,0,0
38,0,0,0,0,0,0,0,23,0,0,0
24,0,0,0,06,0,0,0,13,0,0,#
Vertical
#,#,06,18,#,10,03,30,#,16,29,30
#,06,0,0,#,0,0,0,13,0,0,0
#,0,0,0,08,0,0,0,0,0,0,0
#,0,0,0,0,0,32,0,0,16,0,0
#,14,20,0,0,06,0,0,14,0,0,0
#,0,0,31,0,0,0,0,0,0,20,#
#,0,0,0,#,0,0,07,0,0,0,17
#,0,0,0,12,0,0,0,#,0,0,0
#,#,0,0,0,30,0,0,09,0,0,0
#,29,30,0,0,0,0,0,0,13,0,0
#,0,0,0,16,0,0,10,0,0,21,16
#,0,0,14,0,0,03,0,0,0,0,0
#,0,0,0,0,0,0,0,#,0,0,0
#,0,0,0,#,0,0,0,#,0,0,#
